OPEID6,INSTNM,ICLEVEL,PREDDEG,ADM_RATE_ALL,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,TUITFTE,AVGFACSAL,PFTFAC,PCTPELL,COSTT4_A,C150_4,RET_FT4,CDR3,GRAD_DEBT_MDN,GRAD_DEBT_MDN10YR,AGE_ENTRY,FAMINC,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10,SD_EARN_WNE_P6,SD_EARN_WNE_P7,SD_EARN_WNE_P8,SD_EARN_WNE_P9,SD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_NWNE_P7,COUNT_NWNE_P8,COUNT_NWNE_P9,COUNT_NWNE_P10,COUNT_WNE_P6,COUNT_WNE_P7,COUNT_WNE_P8,COUNT_WNE_P9,COUNT_WNE_P10,UGDS_MEN,UGDS_WOMEN
4898,Miami-Jacobs Career College-Troy,2,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.1232,0.0,0.0,0.0,0.6159,0.0435,0.0,14985.0,4408.0,0.3333,0.7126,26693.0,,,0.218,19793,,28.650713565,19544.195185,22100,,24500,,26500,20500,22900,24800,15600,,17000,,17400,420,,354,,247,1894,,1401,,918,0.2671,0.7329
32943,Blue Cliff College-Houma,3,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732,0.0,0.0,0.0,0.5707,0.0,0.0,22216.0,,,0.7809999999999999,25260.0,,,0.153,9500,,27.619859813,14383.210748,20400,,24600,,25000,18900,21800,22400,14300,,18000,,19700,93,,105,,50,375,,314,,131,0.1557,0.8443
40513,The Art Institute of Salt Lake City,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1341,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3902,0.0,0.0366,0.0,15528.0,4471.0,0.1569,0.6738,30943.0,0.1724,0.6296,0.24600000000000002,20832,,28.671613494,21184.719861,29100,,29200,,32400,26700,27700,29600,19800,,18800,,21500,278,,167,,146,1822,,727,,625,0.5515,0.4485
10319,Fortis College-Columbus,2,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9119.0,6991.0,0.8333,0.6578,22707.0,,,0.121,12287,,28.318452381,20811.756639,26100,,26000,,27300,24400,25400,26600,17900,,17200,,17900,437,,289,,339,2398,,1371,,1415,0.0955,0.9045
10319,Fortis College-Cincinnati,2,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8271,0.0,0.0,8457.0,4848.0,1.0,0.9858,30890.0,,,0.121,12287,,28.318452381,20811.756639,26100,,26000,,27300,24400,25400,26600,17900,,17200,,17900,437,,289,,339,2398,,1371,,1415,0.2216,0.7784
34933,Fortis Institute-Baltimore,2,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0697,0.1555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748,0.0,0.0,8658.0,,,0.5936,,,,0.196,6333,,30.512252042,16012.894982,27500,,32200,,37800,25200,30400,36000,19000,,20400,,22800,436,,324,,238,1808,,1144,,729,0.1418,0.8582
9270,The Art Institute of Charleston,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0774,0.4258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3935,0.0,0.1032,0.0,14525.0,4187.0,0.2462,0.6316,32345.0,0.3077,0.5326,0.223,28500,,24.091203524,32603.326208,27200,,30100,,35400,23500,26300,30400,21600,,22200,,26600,631,,436,,467,3882,,2439,,2325,0.423,0.5770000000000001
21799,Argosy University-The Art Institute of California-Sacramento,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.4624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3548,0.0,0.0108,0.0,13422.0,4976.0,0.1633,0.7144,33645.0,0.5238,0.4455,0.19399999999999998,14691,,29.364977059,25875.014147,35400,,40300,,42800,31500,37100,37800,25700,,26500,,32100,560,,240,,232,2587,,1555,,1375,0.5671,0.4329
32943,Blue Cliff College-Fayetteville,3,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7980.0,,,0.8371,26062.0,,,0.153,9500,,27.619859813,14383.210748,20400,,24600,,25000,18900,21800,22400,14300,,18000,,19700,93,,105,,50,375,,314,,131,0.2431,0.7569
32943,Blue Cliff College-Alexandria,2,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216,0.0,0.0,8368.0,2403.0,0.5714,0.9855,25618.0,,,0.153,9500,,27.619859813,14383.210748,20400,,24600,,25000,18900,21800,22400,14300,,18000,,19700,93,,105,,50,375,,314,,131,0.1039,0.8961
31873,StenoTech Career Institute-Piscataway,2,1,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,,,0.2893,,,,0.122,19891,,31.333333333,70170.939394,PrivacySuppressed,,32600,,PrivacySuppressed,PrivacySuppressed,31200,PrivacySuppressed,PrivacySuppressed,,24200,,PrivacySuppressed,PrivacySuppressed,,PrivacySuppressed,,PrivacySuppressed,PrivacySuppressed,,63,,PrivacySuppressed,0.1,0.9
22392,Anthem College-Brookfield,2,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7925.0,3656.0,0.6,0.7066,29375.0,,,0.145,10260,,27.901882487,24604.245864,21600,,23500,,23000,21400,22500,22100,13200,,15600,,14400,358,,394,,246,1799,,1509,,916,0.1748,0.8252
35493,Ultimate Medical Academy-Tampa,2,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9393.0,3874.0,0.9639,0.6199,,,,0.128,12249,,33.028697925,16989.94047,21500,,23600,,25200,19900,22600,25200,16100,,15600,,14500,323,,84,,31,1076,,249,,80,0.0817,0.9183
22838,Beauty Schools of America-North Miami Beach,3,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12173.0,,,0.6713,,,,0.308,9500,,30.633821571,12763.546471,16500,,17100,,19200,13900,14300,15000,12300,,13600,,16000,502,,440,,549,1256,,1025,,1352,0.2261,0.7739
30106,Virginia College-Biloxi,2,1,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1628,0.0,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7302,0.0744,0.0,25444.0,2873.0,,0.8639,21900.0,,,0.222,17710,,29.282026986,17957.893382,22100,,24700,,27800,19600,21700,24400,16600,,18800,,20800,2241,,1205,,1399,8792,,4811,,5332,0.1532,0.8468
7329,ITT Technical Institute-St Petersburg,1,2,0.83878444501673,,0.0,0.0,0.0,0.0,0.0,0.0,0.7077,0.0,0.0,0.0,0.2615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20456.0,5306.0,0.2258,0.7561,28675.0,0.3529,,0.221,24983,,30.227491599,23786.346518,34000,,37600,,43100,30200,32800,38800,24700,,27300,,29800,974,,824,,589,5336,,4482,,3860,0.613,0.387
7329,ITT Technical Institute-Baton Rouge,1,2,0.83878444501673,,0.0,0.0,0.0,0.0,0.0,0.0,0.2476,0.0,0.0,0.0,0.3689,0.0,0.0,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.1456,0.0,0.0485,0.0,20280.0,4522.0,0.0806,0.7032,25584.0,0.1,,0.221,24983,,30.227491599,23786.346518,34000,,37600,,43100,30200,32800,38800,24700,,27300,,29800,974,,824,,589,5336,,4482,,3860,0.6982,0.3018
