UNITID,CONTROL,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,ICLEVEL,PREDDEG,ADM_RATE_ALL,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,TUITFTE,AVGFACSAL,PFTFAC,PCTPELL,COSTT4_A,C150_4,RET_FT4,CDR3,GRAD_DEBT_MDN,AGE_ENTRY,FAMINC,MN_EARN_WNE_P6,MN_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10,SD_EARN_WNE_P6,SD_EARN_WNE_P8,SD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_NWNE_P8,COUNT_NWNE_P10,COUNT_WNE_P6,COUNT_WNE_P8,COUNT_WNE_P10,UGDS_MEN,UGDS_WOMEN
102094,1,Public,7188,14076,1,3,0.8335,1048,0,0,0,0,0.039,0,0.028,0,0.0874,0.0714,0,0.005,0,0,0.0105,0,0,0.0614,0.004,0,0.0435,0.02,0.0045,0,0.022,0,0.032,0.0285,0.015,0.0235,0,0,0,0,0.0445,0.3437,0.1009,0.0155,7295,7195,0.6305,0.3906,18525,0.3824,0.7107,0.075,23500,22.45948866,50713.79906,35100,42400,46800,31500,35800,37800,24100,38900,45500,372,408,497,3199,2948,3095,0.4388,0.5612
102234,2,Private,32468,32468,1,3,0.5177,1116,0,0,0,0,0.0954,0,0,0,0.0664,0.0041,0,0.0041,0,0,0.0415,0.0539,0,0.0913,0.0166,0,0.0249,0,0.0415,0,0.0041,0,0.1494,0,0,0.0747,0,0,0,0,0.029,0.0539,0.2158,0.0332,12082,6071,0.6822,0.2307,44970,0.5814,0.7262,0.066,27000,20.06866953,74514.59228,34800,44000,51300,33600,40600,45100,20000,26600,39500,31,36,58,388,415,424,0.3967,0.6033
102261,2,Private,11370,11370,1,3,1,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10634,4554,0.875,0.6398,17066,0.1765,0.8182,0.048,24000,32.94871795,36033.09402,30400,30900,38800,27800,28000,34400,27000,20100,24500,PrivacySuppressed,PrivacySuppressed,26,PrivacySuppressed,PrivacySuppressed,107,0.5529,0.4471
102270,2,Private,15865,15865,1,3,0.5901,811,0,0,0,0,0.0351,0,0,0,0.0526,0,0,0,0,0,0.0351,0.0614,0,0.1667,0.0088,0,0,0.1667,0,0,0,0,0.0877,0,0,0,0,0,0,0,0.0351,0.0263,0.2018,0.1228,21345,4597,1,0.8436,26185,0.2036,0.6687,0.187,38209,21.08731466,29620.1285,24900,28700,33700,22800,25400,28200,15500,18900,58200,55,36,61,527,368,459,0.5398,0.4602
102298,2,Private,12509,12509,1,3,,,0,0,0,0,0.037,0,0.0494,0,0.0123,0,0,0,0,0,0.0617,0,0,0.0617,0,0,0,0,0,0,0,0,0.0617,0.0247,0.0494,0.0494,0,0,0,0,0.0617,0,0.4815,0.0494,18039,5186,1,0.5747,20918,0.443,0.4492,0.281,27745,21.17980636,22879.96127,24200,25600,23900,20300,23000,21900,21100,18500,16600,39,PrivacySuppressed,32,283,PrivacySuppressed,161,0.5849,0.4151
102368,1,Public,7564,14092,1,3,0.4414,1050,0,0.0007,0,0,0.0306,0,0.0418,0,0.0578,0,0.001,0.007,0,0,0.0108,0.1061,0,0.0278,0.0097,0,0,0.0275,0,0,0.0035,0,0.1534,0.1347,0.0456,0.0633,0,0,0,0,0.0136,0.0668,0.1788,0.0195,8632,6246,0.385,0.4537,17354,0.3498,0.7514,0.114,23750,27.36968301,39706.00935,34300,37500,41100,30400,33800,37000,29300,28000,33300,819,798,952,6056,5413,5266,0.3884,0.6116
102377,2,Private,19570,19570,1,3,0.4922,978,0.1315,0.0275,0.0398,0,0,0,0.0183,0,0.0153,0.159,0,0,0.0061,0,0.0336,0,0,0.0856,0.0122,0,0,0,0,0,0.0092,0,0.1131,0,0.0061,0.0398,0,0,0,0,0,0.052,0.2416,0.0092,14104,8399,0.9711,0.63,32853,0.4723,0.7178,0.128,33000,19.73599386,50145.00154,34500,39000,42200,28500,34200,35500,26700,26700,30400,56,66,82,823,860,783,0.4258,0.5742
102395,2,Private,,,1,3,,,0,0,0,0,0,0,0,0,0.3793,0,0,0,0,0,0,0,0,0,0,0,0,0.6207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14687,5569,0.2258,0.4,,,,0.042,25000,30.8125,33598.90179,35700,51100,PrivacySuppressed,33600,46400,PrivacySuppressed,19900,34000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8111,0.1889
102553,1,Public,5494,16466,1,3,,,0,0.0066,0,0.0044,0.0084,0,0.0199,0.0062,0.0261,0.0381,0.0575,0.0058,0.0151,0.0031,0.0217,0.1328,0,0.0142,0.0066,0,0.0274,0.0124,0.0031,0,0.0111,0.0106,0.0398,0.019,0.0102,0.0297,0,0.0217,0.0297,0.0305,0.0186,0.1965,0.1554,0.0177,5843,8640,0.4754,0.2385,13610,0.2504,0.7164,0.124,17500,25.23524948,44845.56308,41500,46300,51200,36000,40600,45400,30300,33600,38000,456,487,555,2632,2745,2779,0.4236,0.5764
102580,2,Private,9300,9300,1,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8132,2201,,0.3571,15990,,0.3333,,PrivacySuppressed,21.9375,51135.875,,,,,,,,,,,,,,,,0.5556,0.4444
