6-digit OPE ID for institution,Admission rate for all campuses rolled up to the 6-digit OPE ID,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,Proportion of faculty that is full-time,"First-time, full-time student retention rate at four-year institutions",The median debt for students who have completed,Average age of entry,Average family income in real 2015 dollars,Mean earnings of students working and not enrolled 6 years after entry,Mean earnings of students working and not enrolled 8 years after entry,Mean earnings of students working and not enrolled 10 years after entry,Nat Log Mean earnings of students working and not enrolled 10 years after entry,Average cost of attendance (academic year institutions),"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",,
1216,0.3895,1035,0.3026,0.8795,22572,26.93568651,54008.7939,41700,46800,52000,10.858999,45305,0.5928,,
1220,0.6137,1104,0.2926,0.8077,20147,21.93642612,69420.18729,35300,41800,49000,10.79957558,40815,0.5362,,
1236,0.3705,1001,0.3563,0.8155,23238,20.73413897,71794.51662,38400,44900,53900,10.89488576,51649,0.4076,,
1238,0.6798,1151,0.5337,0.8118,23375.5,23.15633803,53462.30141,39500,42000,44400,10.70099475,54668,0.6142,,
1243,0.7409,928,0.2806,0.7923,25000,23.63286713,49418.53089,53400,56500,59000,10.98529272,47905,0.6379,,
1249,0.4239,1303,0.7273,0.9302,21500,19.49834437,100174.1424,38900,48300,56600,10.94376426,60655,0.8777,,
1251,0.4628,1002,1,0.8087,27000,21.78795181,51616.38072,34700,43600,51100,10.84153978,52397,0.5731,,
1252,0.4681,951,0.9,0.7315,24964,24.36596386,53265.8238,29000,37700,39700,10.58910647,40303,0.4508,,
1253,0.7844,979,0.8403,0.8263,18617,28.01569859,44024.75877,35000,38800,43600,10.68281243,33973,0.5412,,
1258,0.5055,1017,0.9,0.8457,27000,21.15427928,67843.07095,45400,52500,59200,10.98867682,38800,0.4452,,
1262,0.6654,1155,1,0.8933,23292,21.22284795,89693.06195,42600,48100,53500,10.88743693,43060,0.7208,,
1281,0.6929,1039,0.2564,0.8222,21000,24.83469945,64160.85519,39100,39700,40100,10.59913161,34811,0.5614,,
1291,0.555,1030,1,0.8095,16666,27.2417983,46877.04253,33600,34500,38200,10.55059079,33889,0.4724,,
1293,0.6977,980,1,0.7609,25000,23.29209084,64365.56852,38600,41500,43200,10.67359577,41952,0.5232,,
1302,0.6947,1115,0.267,0.9005,24894.5,21.08965015,95040.78426,44500,53100,66800,11.10945836,56500,0.675,,
1305,0.0569,1466,0.9786,0.9858,11110,19.5767098,85202.86229,95200,128700,122900,11.7191263,58408,0.9576,,
1312,0.18,1350,0.7304,0.9637,14100,21.39844792,53202.64229,53300,64600,74700,11.22123537,32715,0.9103,,
1313,0.4521,1192,0.8397,0.9294,14500,21.11624219,54085.80157,42600,54300,65200,11.08521475,31803,0.8133,,
1314,0.4239,1122,0.7884,0.9175,16600,20.40836272,49056.01592,41800,51500,61800,11.03165864,28980,0.8585,,
1315,0.2199,1289,0.7082,0.9626,15000,21.20605823,53782.76855,49600,60200,70700,11.16620085,31474,0.9031,,
1316,0.62,1078,0.824,0.8898,19000,20.36683889,48500.40653,35000,43200,52200,10.86283777,29787,0.6617,,
1317,0.375,1276,0.8344,0.942,18815,20.60392296,58394.0826,43500,55500,67900,11.12579131,29751,0.858,,
1320,0.4444,1212,0.834,0.9193,16249.5,20.05799764,59703.64467,39500,48900,59000,10.98529272,31913,0.807,,
1321,0.5991,1087,0.7098,0.8879,19500,20.40393452,53784.43754,35200,42200,50400,10.82774645,33208,0.7267,,
1322,0.672,1135,0.9644,0.884,26000,24.83166333,72010.70341,45100,49400,56400,10.94022444,55268,0.7295,,
1325,0.6129,1161,0.4135,0.8646,24899,21.73779947,75136.41837,54700,64000,70400,11.16194854,55812,0.6901,,
1326,0.5122,1294,0.6019,0.9498,20500,20.38493151,121237.6336,57200,66800,81900,11.31325427,57213,0.8401,,
1328,0.1984,1380,0.5727,0.9599,23250,20.65873336,81267.50888,60000,75500,85500,11.35627165,59787,0.9117,,
1329,0.7265,1172,0.5588,0.8656,24500,20.90036452,69181.65431,61600,74500,81400,11.30713055,52406,0.5669,,
1339,0.3225,1067,0.9524,0.7661,22462,22.43807763,65849.75786,31700,36800,40000,10.59663473,38834,0.5459,,
1341,0.7016,1193,0.6851,0.8462,23250,19.65573771,97851.91189,37200,43600,54600,10.90778916,51760,0.7577,,
1342,0.6325,1043,0.61,0.8292,26984.5,19.89700599,76851.50299,36700,41500,47400,10.76637751,49920,0.6677,,
1343,0.5575,987,0.2633,0.7458,30250,23.51748252,40062.16783,37100,41800,50500,10.82972862,42465,0.4465,,
1347,0.2228,1323,0.8605,0.9608,17703,19.5144357,119752.5801,34800,38800,46000,10.73639668,54200,0.8721,,
1348,0.3743,1298,0.8575,0.9189,26000,20.75872309,91570.46251,72900,80400,90500,11.41310513,29091,0.6969,,
1349,0.6957,1029,0.6597,0.663,21474,22.03767196,64694.08233,34100,38700,44600,10.70548914,19105,0.4638,,
1350,0.7743,1127,0.6959,0.8591,20500,21.38593787,79974.93005,37700,43900,51800,10.85514543,21823,0.6383,,
1353,0.875,1049,0.7165,0.6504,19500,22.08204102,59110.83342,28800,33300,39000,10.57131693,19565,0.3662,,
1358,0.8212,972,0.4544,0.6535,19500,23.1000598,54657.56089,32800,36600,40000,10.59663473,18077,0.3005,,
1360,0.7116,973,1,0.658,23242.5,25.89350214,42670.0135,34000,37900,42600,10.65960953,14034,0.2597,,
1363,0.9234,1111,0.3033,0.8186,22396,29.96700796,56454.2317,52300,55600,57900,10.96647266,43058,0.5807,,
1365,0.9434,967,0.4771,0.6263,20400,23.703459,46884.096,36300,37800,39000,10.57131693,18007,0.3306,,
1370,0.8771,1192,0.683,0.8462,19135,20.70954871,93332.01527,39800,47800,56900,10.94905062,27854,0.6969,,
1371,0.7673,1231,0.5039,0.8678,23500,21.25964483,94794.63503,50300,53800,63400,11.05721914,53614,0.7752,,
1372,0.932,1005,0.7325,0.6837,19768.5,21.04865424,70448.9824,30200,34200,40800,10.61643736,18875,0.4242,,
1374,0.6821,830,0.3494,0.9256,27000,28.56280788,51843.4335,45800,50200,55200,10.91871823,41520,0.6299,,
