UNITID,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,SAT_AVG_ALL,TUITFTE,GRAD_DEBT_MDN,FAMINC,MEAN_EARN_6,MEAN_EARN_8,MEAN_EARN_10
197018,Private,13535,13535,,14158,PrivacySuppressed,16158.07257,16100,21300,26100
197027,Public,1107,1107,,602,5500,72330.76923,78600,91500,98600
197045,Private,33736,33736,,14758,24750,61185.41737,40600,44000,48600
197133,Private,49570,49570,1403,25998,16700,86438.75633,39400,48700,61500
197197,Private,40750,40750,,23434,26958.5,96086.03755,48300,55300,64700
197221,Private,44000,44000,1420,413,PrivacySuppressed,106692.16,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
197230,Private,36700,36700,1053,12882,27000,64553.95429,29100,31900,39200
197601,Private,8800,8800,,6634,PrivacySuppressed,13969.37234,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
197610,Private,8100,8100,,5794,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
197647,Private,10800,10800,,4565,PrivacySuppressed,25104.62069,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
197674,Private,8200,8200,,10024,PrivacySuppressed,22005.13433,25400,29100,32200
197692,Private,14860,14860,,17594,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
197708,Private,38730,38730,1221,22288,18810.5,98459.07941,48500,58000,78800
197735,Private,8100,8100,,4052,PrivacySuppressed,14190.725,19000,17500,19600
197744,Private,11600,11600,,4744,PrivacySuppressed,28135.45679,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
197869,Public,6553,19720,1148,6100,19905,72290.21203,34300,38100,43600
197911,Private,26664,26664,962,15311,27000,56066.31118,31800,36300,39400
197984,Private,18500,18500,1000,10292,27000,68969.20657,34600,38900,44400
197993,Private,17355,17355,,7755,38750,29841.49061,23200,27600,32700
198066,Private,26170,26170,,12523,26750,63811.40358,27600,31000,35300
198136,Private,27530,27530,1025,12550,23500,51323.37764,38700,48600,58000
198215,Private,27360,27360,,18808,23936,57635.12005,31900,38200,42700
198303,Private,22900,22900,773,11367,31632,34778.7341,26300,30500,36200
198385,Private,45377,45377,1337,20505,16385,101754.2551,49400,63400,71100
198419,Private,47243,47243,1454,22556,7000,71743.20732,93200,103200,114500
198464,Public,6143,21340,1036,6806,23755,67201.66078,37300,41700,45800
198507,Public,4498,16173,866,2966,26000,33794.58257,25100,28400,32200
198516,Private,31247,31247,1225,25949,23965.5,141661.0952,47100,52800,58700
198543,Public,4655,16263,892,3287,20729,31305.3748,27500,30600,34600
198561,Private,27080,27080,1020,9144,23838.5,53055.64991,35100,37700,41600
198598,Private,26850,26850,876,13604,26000,57884.3931,30100,36400,41000
198613,Private,33430,33430,,12312,26920,55076.89091,32700,36000,39500
198677,Private,7968,7968,,10692,PrivacySuppressed,23581.48837,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
198695,Private,31480,31480,1096,23711,23937.5,141799.8873,38000,40700,42900
198747,Private,9850,9850,,4512,23750,38248.64151,PrivacySuppressed,PrivacySuppressed,40300
198756,Private,18236,18236,808,10223,31000,32712.01583,26200,28400,31400
198808,Private,24150,24150,,9804,21000,60017.81113,32500,33200,34400
198835,Private,30922,30922,,12322,25500,59928.15087,33700,38200,43600
198862,Private,16825,16825,720,12732,41000,26515.58377,21300,26000,26100
198899,Private,27590,27590,924,9370,27000,48777.02982,30400,33200,33800
198950,Private,32140,32140,,18662,26000,68923.07996,34300,37100,43500
198969,Private,29080,29080,962,13927,27000,54623.33264,32800,41000,43700
199032,Private,23520,23520,1016,9323,27206,50119.10233,37200,42500,42500
199069,Private,17800,17800,902,8484,26966.5,44449.67245,38000,40700,43700
199102,Public,5642,18402,910,5359,28588,44253.12401,31700,35500,39300
199111,Public,6392,21263,1191,6444,21429,56931.64692,30000,35000,38800
199120,Public,8336,33418,1328,12502,15332,80572.85987,49900,60800,68800
199139,Public,6277,19448,1079,7245,22803,60184.68849,38600,44800,50300
199148,Public,6454,21316,1043,5658,22250,51735.14962,33100,37400,40900
199157,Public,5526,16941,886,5216,30500,35546.99508,28700,31400,35300
199184,Public,8363,23733,1116,12770,26956,80943.12895,28100,36700,46700
