UNITID,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,SAT_AVG_ALL,TUITFTE,GRAD_DEBT_MDN,FAMINC,MEAN_EARN_6,MEAN_EARN_8,MEAN_EARN_10
124487,Private,9689,9689,,11427,38250,29493.34641,29300,33400,32600
125727,Private,39990,39990,1175,20556,25000,101237.7675,38600,48000,58000
125763,Private,41836,41836,1061,24728,26946,79444.52912,37500,43100,50900
125897,Private,35048,35048,,19323,31000,46868.32667,37300,46600,52100
126076,Private,13300,13300,,10376,PrivacySuppressed,40950.375,PrivacySuppressed,30100,PrivacySuppressed
126182,Public,8014,18814,955,6568,15835.5,51138.15288,28800,32300,38100
126562,Public,8500,22852,1055,13347,20500,50911.33531,48700,57100,71200
126580,Public,7462,17494,1089,10048,20994.5,60054.66883,37300,41600,49300
126614,Public,10789,33151,1207,17532,19500,94062.4068,42700,50200,59700
126669,Private,26430,26430,,13179,25251.5,46018.30774,37600,38600,44600
126678,Private,46410,46410,,28609,19045,108074.4476,35900,47400,49900
126775,Public,16918,33598,1333,18760,26627.5,96302.93563,74700,80700,95600
126818,Public,9897,26277,1128,12634,20590,82200.48543,39900,46200,53400
127060,Private,42090,42090,1231,26394,22808,101139.4034,49000,60900,65400
127185,Public,7252,17780,1020,5828,19524,58418.26399,30500,35000,39400
127556,Public,7116,17720,970,6676,20643,57105.12302,34200,38800,42300
127565,Public,6070,18888,973,5712,24186,44514.46265,36100,39800,44200
127653,Private,29970,29970,,22064,25670.5,46923.03435,19600,26500,27800
127714,Private,11400,11400,,10171,29500,39042.91958,32100,34500,34400
127741,Public,7733,19277,1033,9425,22001,66578.5766,35300,40900,47100
127918,Private,33060,33060,1108,14235,22819.5,59635.67354,54100,58900,62700
128106,Public,7834,18775,971,4750,20123,49925.45111,39100,39800,41600
128391,Public,7874,18319,990,7976,20688,74181.05538,32500,35800,43400
128498,Private,28930,28930,,12659,27000,49929.45316,45200,51400,56000
128744,Private,29920,29920,899,16453,27000,44606.89588,35600,41300,47100
128771,Public,8877,20612,1015,7796,22500,63818.53873,40800,45100,51600
128780,Public,,,,7955,16557.5,44136.97452,48200,48500,43700
128902,Private,47740,47740,,28347,25850,109131.0877,44400,53200,62900
129020,Public,12700,32880,1228,11680,21100,88206.64679,49800,57300,66000
129215,Public,9560,21295,,6709,22289,80021.84872,36800,43900,49000
129242,Private,43770,43770,,24805,26745,130663.9137,56500,68600,80100
129525,Private,35444,35444,1000,16393,26700,83090.58167,40300,46800,51700
129534,Private,10870,10870,,10494,PrivacySuppressed,27381.45,,,
129686,Private,30456,30456,,20995,PrivacySuppressed,65534.0625,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
129774,Private,30012,30012,,14981,26000,68889.59242,28200,30700,34000
129941,Private,34630,34630,1063,18751,27000,86144.75742,40500,48100,54600
130226,Private,40670,40670,1104,27462,26000,118798.3083,53800,60900,67700
130253,Private,35750,35750,,19851,25000,114947.7339,47400,56000,61800
130314,Private,34755,34755,969,18255,27000,68490.20346,43100,48400,52900
130493,Public,9157,20937,932,8750,23500,64270.51809,38800,43900,48100
130590,Private,49056,49056,,30787,21000,131716.4237,52000,67100,74300
130697,Private,48272,48272,,29384,18213,100516.2478,46400,53500,63400
130776,Public,9077,20812,981,7369,24250,65428.21186,37800,45200,50400
130794,Private,45800,45800,1493,15008,13632,94400.2122,67800,97100,124400
130934,Public,7336,15692,894,6032,28500,52761.76636,30100,35400,38400
130943,Public,12342,30692,1194,17838,23977,117724.519,48100,56200,64000
130989,Private,22500,22500,,14321,21018,52846.51258,40200,42700,48800
131098,Private,24100,24100,853,14441,31000,61399.42422,33600,41400,45700
131113,Private,10190,10190,,8049,16666,44140.27687,40800,44500,46600
131159,Private,41833,41833,1252,30440,24250,106375.023,46700,56400,67700
131283,Private,39726,39726,1130,22765,26000,129254.4718,48400,54700,60500
131399,Public,5251,11233,,7812,21866.5,23864.60826,32800,35200,39400
131450,Private,15024,15024,849,12269,16900,38041.47544,25400,32600,34300
131469,Private,48760,48760,1297,28464,25000,99400.87547,58600,74900,82400
131496,Private,46744,46744,1414,34183,16164,108811.6392,81100,101400,125200
131520,Private,23970,23970,1105,17361,27000,58909.39691,39500,48400,54500
131876,Private,22316,22316,,15381,30625,30742.09004,37400,39100,43100
132408,Private,9700,9700,962,8740,19603.5,40818.83983,29300,33100,36200
132471,Private,28160,28160,938,16459,27659,40352.46514,43700,47800,50900
132602,Private,14410,14410,803,10171,35500,32605.14377,26000,29900,32300
132657,Private,35050,35050,980,22163,18492.5,81022.14286,38600,43200,46500
132842,Private,12240,12240,,15073,23500,23975.85523,30200,33600,34000
132879,Private,14270,14270,1017,9537,19690,54695.03054,28200,29100,31700
132903,Public,6368,22467,1185,5199,17883,48879.68266,39900,45400,51200
133085,Private,17865,17865,974,11484,20500,49682.19342,30800,36000,45800
133492,Private,38668,38668,1153,19367,27000,91838.75711,36000,44200,46700
133526,Private,12525,12525,825,9307,24826,25587.05165,22700,26500,28700
133553,Private,31948,31948,,29248,23250,53892.4379,51400,60800,70300
133650,Public,5785,17725,948,5113,27199,38576.12631,31800,39600,44700
133669,Public,4831,17276,1058,5550,16000,43569.31142,38800,44200,48300
133711,Private,16180,16180,1058,13414,23673,73409.68722,34900,39100,42200
133872,Private,12430,12430,928,12392,22333,47180.82495,53500,56900,58200
133881,Private,37990,37990,1176,21450,26617.5,38018.48732,46900,53300,61200
133951,Public,6497,18895,1089,6256,16500,35559.56306,41500,46000,52000
133979,Private,14776,14776,,14724,44000,26376.78409,23700,28200,29600
134079,Private,29990,29990,1147,16051,24048,75797.03496,37400,40900,44400
134097,Public,6507,21673,1228,6263,20500,67527.92863,39700,48200,53900
134130,Public,6313,28591,1273,7553,15000,57266.35693,47700,57800,65700
134510,Private,5920,5920,,6675,5721.5,26032.82353,21100,PrivacySuppressed,PrivacySuppressed
134945,Private,31370,31370,,10885,21500,63674.29201,48800,51500,57100
135364,Private,6080,6080,,6280,24029,31099.35165,41700,42600,45400
135610,Private,,,1062,15274,26500,53023.63775,35400,40000,45400
135726,Private,44350,44350,1330,29286,21500,92768.90893,54500,64900,72900
136172,Public,6385,20789,1133,5264,16596,52489.42194,37500,44100,49200
136206,Private,23132,23132,981,16307,22000,58944.09055,45700,50600,54900
136215,Private,26700,26700,1143,17966,25000,47907.65375,47800,53000,55600
136330,Private,26274,26274,1071,16273,24532.5,63515.33599,40600,45100,48000
136774,Private,40040,40040,,34848,27000,80206.36855,36000,44000,43100
136950,Private,43080,43080,,18320,26648.5,75945.91936,40300,46700,53100
137032,Private,20420,20420,,9630,23625,33064.08985,39200,45500,50500
137272,Private,21100,21100,,20490,PrivacySuppressed,21668.47059,,,
137351,Public,6410,17324,1161,6454,19000,49092.50798,39400,43300,48500
137476,Private,27150,27150,919,16172,22000,47297.83142,44600,50200,60500
137546,Private,40040,40040,,18645,27000,71772.98325,36500,46200,51800
137564,Private,22202,22202,965,11590,21500,54781.30274,31200,34600,37900
137777,Private,12500,12500,,4864,PrivacySuppressed,31348.84615,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
137847,Private,26330,26330,1094,16628,25750,88931.86446,42300,48000,55100
137953,Private,10110,10110,899,4946,15705.5,38394.61981,24300,30400,33300
137962,Private,14660,14660,,11781,24750,31723.33951,27700,30700,33700
138275,Private,18966,18966,863,4529,22500,39000.04303,35500,38900,42500
138293,Private,24034,24034,946,12023,21500,52810.35987,31900,35600,40100
138354,Public,6360,19241,1065,5937,17750,46261.82012,33600,37100,43400
138600,Private,35982,35982,,12517,27000,65592.33588,33200,37600,46300
138716,Public,5192,15196,875,4030,31910,30735.63808,27100,32500,34600
138789,Public,5266,15271,1006,4839,20250,46868.80314,36000,41300,44000
138868,Private,17650,17650,917,9337,30487.5,51696.32017,30200,32400,34700
138947,Private,21334,21334,860,16292,31000,38121.11618,28400,32600,38200
139144,Private,30530,30530,1183,13245,23000,88450.49423,32300,39000,43900
139153,Private,9390,9390,,6405,43499,17495.87786,29800,27300,36900
139199,Private,24780,24780,985,13562,27000,41409.2494,41300,42800,45400
139205,Private,14200,14200,,6173,20643.5,46014.07455,29800,31300,35100
139287,Private,9260,9260,,6023,PrivacySuppressed,19078.27586,,,
139311,Public,5246,15251,930,4743,26250,31375.52581,35900,39000,42300
139366,Public,5613,15930,976,6154,25000,45199.45467,31100,35300,38800
139393,Private,30160,30160,1175,13871,21470.5,86276.47597,35100,39700,46700
139630,Private,18170,18170,960,8120,27000,60794.16558,26700,30300,35400
139658,Private,45008,45008,1366,24533,18471,75080.28326,65500,72300,84400
139719,Public,6448,18954,873,3485,35500,31212.28705,25500,30200,34700
139755,Public,11394,30698,1400,12832,23750,89740.9007,66100,73200,85900
139764,Public,5158,15163,970,4506,20000,47324.1374,32900,36300,40100
139861,Public,8960,27308,1132,7922,21500,87986.29747,37500,41200,45200
139931,Public,6170,16487,1099,5686,22500,67244.76202,36800,42500,46100
139940,Public,8618,23186,1055,7171,22600,39028.1308,38100,43300,48200
139959,Public,10836,29046,1248,10408,18750,82742.77281,45200,53000,59100
140164,Public,5912,15630,1076,6034,22000,54833.00821,38200,43400,47900
140234,Private,26620,26620,1035,14307,27000,65442.9589,36100,39600,45700
140252,Private,10500,10500,,19362,8091.5,37408.84639,36500,43700,47200
140447,Private,33780,33780,1205,16330,25000,60984.61005,40400,54800,58200
140553,Private,26090,26090,1004,14394,27000,63124.03125,34600,42300,49000
140696,Private,32500,32500,1139,12338,27000,60486.853,37500,44600,49400
140720,Private,13332,13332,760,14030,38000,28575.93324,21400,25500,29700
140818,Private,21350,21350,968,9122,22826,54433.32558,40200,40300,43400
140872,Private,19196,19196,975,10884,PrivacySuppressed,61072.10711,33500,36700,40500
140951,Private,34295,34295,1081,25740,27000,83136.80304,32700,37700,41400
140960,Public,5556,15561,847,2800,33242.5,34264.49754,26200,30200,35000
140988,Private,20250,20250,951,8944,27626,49735.21939,36600,42800,50100
141060,Private,25496,25496,1005,13712,26900,65488.74597,34700,43200,50700
141097,Public,5839,17144,1134,6216,25000,50203.60375,49500,56600,60100
141167,Private,15750,15750,,10172,20053,41578.41812,38700,37600,37400
141185,Private,19700,19700,970,10336,23625,50826.25049,28000,29600,32200
141237,Private,17400,17400,971,8064,23000,56591.75252,25900,32200,37100
141264,Public,6142,16459,1018,5474,24750,49884.36283,33200,37300,41600
141325,Private,20025,20025,,10081,25000,40575.7318,27800,32800,37600
141334,Public,5938,16258,950,5366,23484.5,52789.94322,33900,39100,41700
141361,Private,26386,26386,990,9769,26000,65013.64393,29300,33900,41300
141486,Private,20940,20940,958,14296,21500,39132.85822,31800,36800,41000
141565,Public,7036,19036,936,7031,19045,41454.49862,31700,38000,41800
141574,Public,10620,29412,1070,9558,18750,58300.47767,39000,45600,51800
141644,Private,21130,21130,,15303,21500,53113.89696,41800,51000,56400
141981,Public,6888,18888,,4902,13000,36897.9246,38300,38000,41100
142090,Private,11665,11665,996,11209,19596,40045.62857,26900,30700,32700
142115,Public,6641,19493,1042,6727,22148,57201.04795,35600,39200,43100
142276,Public,6566,19326,,7624,21488.5,45031.53669,34900,39400,43900
142285,Public,6784,20314,1057,8109,23185,57045.34705,35500,43400,47000
142294,Private,24955,24955,1076,10436,26000,66480.17722,31700,37700,47300
142328,Public,8624,19142,923,5085,22000,43696.04169,33700,36100,38200
142461,Private,27340,27340,1052,11663,25000,59019.64608,35000,44100,46300
142522,Private,3950,3950,1041,2424,10950,46663.87106,35600,42800,49400
143048,Private,42230,42230,1065,27614,25154,79534.36444,28800,34700,40800
143084,Private,37236,37236,,17802,27000,91520.07944,41100,48800,56400
143118,Private,21320,21320,1010,11230,21500,64157.96626,39200,43900,46200
143288,Private,19560,19560,989,12758,26000,51016.23725,29600,35700,41700
143297,Private,,,,11089,15000,51736.5814,48800,51700,51000
143358,Private,30844,30844,1162,19329,27000,95507.32164,45900,50600,58300
144005,Public,9846,16806,870,5468,29570,22103.73228,32200,34700,38200
144050,Private,49380,49380,1505,27753,12229,86822.91919,72100,89700,103000
144281,Private,23544,23544,,19883,26000,69785.54886,29500,34900,39200
144351,Private,28718,28718,1031,13719,24343.5,55981.68406,38700,39100,42700
144740,Private,35071,35071,,22044,23164,70519.89007,46000,52800,60200
144883,Private,19545,19545,,6677,24433.5,17032.39247,22500,25300,29000
144892,Public,11108,28088,1010,7193,23152,61218.45738,35500,40900,46000
144962,Private,33950,33950,1089,14872,21655,69962.71725,42700,46800,51600
144971,Private,20060,20060,1053,13716,25121.5,64023.10602,33200,37500,40500
145336,Public,9386,17036,909,7798,15250,35674.28926,40300,41700,44000
145372,Private,24360,24360,1056,11475,20750,63107.72955,33200,37600,39900
145497,Private,19190,19190,1030,4161,PrivacySuppressed,43560.27964,25800,30900,26700
145558,Private,,,,32781,PrivacySuppressed,13513.15676,79200,142200,171800
145600,Public,13634,26024,1125,11629,18750,49968.59596,43100,54300,61300
145619,Private,26558,26558,1030,11503,22000,61486.59957,43700,50400,56400
145637,Public,15020,29646,1326,13826,20500,86358.43976,52300,59600,70900
145646,Private,40844,40844,1249,19599,27000,104827.7288,43300,54600,67300
145691,Private,29210,29210,,10823,27000,66318.53039,34300,40400,49100
145725,Private,41645,41645,1266,19025,27000,60346.75568,60400,71600,78000
145813,Public,13296,20886,1110,9747,22450,83188.63725,41600,46700,51600
146339,Private,27530,27530,1080,12053,22000,61927.60166,38000,43100,47200
146427,Private,40497,40497,,17731,27000,69623.74411,31200,39500,43500
146481,Private,41172,41172,,16234,27000,83662.92676,41100,50900,55600
146533,Private,,,,19471,19500,49567.09319,57400,65800,67600
146612,Private,27830,27830,1070,15308,24417,73821.29496,43800,48900,53600
146667,Private,16050,16050,1006,10643,22189.5,50476.45614,28100,33300,37000
146719,Private,37412,37412,1212,22878,25000,83153.63079,45200,54200,63500
146825,Private,23600,23600,970,13288,27500,59745.26478,32000,35200,39300
147013,Private,26900,26900,1048,10436,23911,58232.89904,39200,43600,50200
147129,Private,19600,19600,930,19366,30600.5,49246.17746,51000,50400,PrivacySuppressed
147244,Private,29620,29620,1046,12366,27000,67055.68728,34900,42800,47200
147341,Private,33200,33200,1033,12603,27454,66207.55656,34500,42500,46500
147369,Private,11348,11348,,6569,PrivacySuppressed,29148.47658,29900,PrivacySuppressed,PrivacySuppressed
147536,Private,12867,12867,,14886,16900,38072.96892,44200,47100,50800
147590,Private,,,,17628,12500,35579.86441,38700,42600,42600
147660,Private,34230,34230,1125,17001,25500,76904.96171,39300,47700,52300
147679,Private,24600,24600,1025,16597,26250,62267.54575,40300,43300,45600
147703,Public,13505,22784,1030,7274,23000,57598.38079,39400,45100,49800
147767,Private,47251,47251,1461,28395,16905,97160.83551,71900,82800,93400
147776,Public,8868,16164,890,6379,13800,32223.1838,35200,38500,41900
147828,Private,31390,31390,1105,11572,25000,73141.03981,39300,41400,44000
148131,Private,26572,26572,1024,9091,22633,66797.90812,34200,39500,46000
148405,Private,27530,27530,1009,13790,25250,52797.59164,38300,41300,47800
148487,Private,26900,26900,1050,19997,23000,50473.75143,39700,43900,47700
148496,Private,29770,29770,1029,15213,25000,54475.41908,39000,44400,49900
148511,Private,,,,29645,26664,34671.82609,67000,98100,125000
148575,Private,,,,10774,15393,69694.82376,52600,55600,58100
148584,Private,28790,28790,1064,13711,24500,67842.14634,47100,52800,56500
148593,Private,,,,17725,PrivacySuppressed,67015.67308,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
148627,Private,30100,30100,1008,14676,24155,54020.91886,41400,47300,50600
148654,Public,11367,20517,1081,6750,18771.5,50305.22202,38500,44100,49900
148849,Private,32499,32499,,20175,32263,52756.02128,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
149028,Private,,,,21090,23750,51487.09239,54700,56800,60100
149222,Public,12248,24871,1055,8434,22000,54991.16444,36700,43200,49500
149231,Public,9738,20682,1070,7872,21500,62792.22405,39600,45200,50800
149329,Private,12000,12000,,9936,PrivacySuppressed,51388.54167,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
149505,Private,25515,25515,1080,15660,26242.5,60605.42044,39600,41400,44600
149514,Private,27360,27360,1062,11524,26500,53023.63775,35400,40000,45400
149639,Private,25690,25690,1109,13742,PrivacySuppressed,75577.75862,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
149763,Private,,,,18891,24897.5,39450.16009,64000,69900,72900
149772,Public,12217,16533,970,6747,23742,54699.3273,37000,42100,47500
149781,Private,31900,31900,1311,19517,22500,100587.5758,39600,48700,60500
150066,Private,26850,26850,1048,12546,27000,71069.55128,33300,38800,41300
150136,Public,9344,24610,1066,7522,25000,72367.8341,35300,39600,44600
150145,Private,25830,25830,1040,13390,19169.5,52052.34963,36000,38700,42800
150163,Private,35652,35652,1205,21007,27000,116823.7733,55000,64800,68900
150172,Private,16405,16405,,12933,19625.5,39417.78707,40000,44200,47800
150400,Private,42746,42746,1213,17231,25000,106548.2368,43900,52700,66100
150455,Private,42870,42870,,14123,27000,70419.85309,28000,33700,39200
150534,Private,31776,31776,1144,13541,26899,80096.44317,40700,45000,48800
150604,Private,28185,28185,1031,13013,27000,80515.04538,36000,39800,46300
150668,Private,29700,29700,1109,14638,20500,65101.12374,35900,41200,42400
150677,Private,24670,24670,1110,7353,22075,63900.54693,32500,35500,37500
150756,Private,33023,33023,1101,11161,27000,80806.37022,34600,42100,51600
150774,Private,27150,27150,969,12635,25000,79720.04286,33100,38300,45300
150941,Private,24771,24771,1034,11041,26729,68119.08977,32600,36300,39000
151102,Public,7949,19092,1002,5643,25054,55673.46527,33100,36400,39800
151111,Public,8909,30089,1010,10593,23500,55994.1242,39900,49300,50700
151263,Private,25414,25414,1018,13502,27000,63546.73596,38300,42200,46100
151290,Private,24860,24860,965,6364,26716.5,24226.78036,38300,44100,49400
151306,Public,6957,16297,1001,5288,22500,60595.90024,32900,36600,40200
151324,Public,8416,18346,913,5726,23498,52882.35053,34400,38500,42600
151333,Public,6811,18081,934,4931,18435.5,48921.81802,34300,37900,40500
151342,Public,6905,18081,942,5284,25438,45375.18146,31600,36200,38100
151351,Public,10388,33241,1198,16449,22529.5,96680.19765,44200,50300,57800
151360,Public,6854,18081,916,5147,26116,49397.88669,33500,37000,40400
151379,Public,6827,18081,959,5274,22000,49104.98347,32800,37500,41800
151388,Public,6787,18081,943,4932,20569,44649.07771,32400,34100,34800
151777,Private,29040,29040,1000,12621,27000,69133.78571,33800,40600,43600
151786,Private,29400,29400,1036,15868,27000,65120.29559,41400,47200,46600
151801,Private,24102,24102,1081,9769,23438,47625.71488,47700,52800,56200
151810,Private,11960,11960,,10120,39432,13209.80169,21300,25700,28600
152080,Private,46237,46237,1450,22629,21050,133288.4596,69700,74700,98400
152099,Private,19800,19800,960,12194,17522.5,48929.6701,30700,35900,37200
152248,Public,6758,15266,965,7138,21750,51506.11443,35700,37100,43000
152266,Public,7329,17447,959,4856,24075,54181.34007,34500,39000,44600
152318,Private,43683,43683,1308,23137,27000,105560.2028,70800,76100,88500
152336,Private,25930,25930,981,14158,25078.5,60843.05126,36200,40400,43600
152363,Private,27890,27890,996,7930,27000,68449.76878,33200,37800,45800
152381,Private,28351,28351,943,12408,27400,41649.51168,28300,32300,31900
152390,Private,35970,35970,1144,17442,27000,109441.2452,44500,50100,51300
152530,Private,29538,29538,1184,16781,24250,90996.24718,31600,38000,42600
152567,Private,29600,29600,1078,14191,25513,69052.18337,40000,42400,49600
152600,Private,34760,34760,1155,17219,27000,80398.64375,42200,47100,54400
152673,Private,37750,37750,1128,15784,25000,93708.4578,42100,52200,64000
152798,Private,19295,19295,,17166,16750,73419.88957,53000,55600,52800
152822,Private,15666,15666,,8658,19707,51664.72947,36800,38600,41800
152992,Private,27202,27202,1005,12414,23500,57704.16595,37000,43700,44400
153001,Private,30406,30406,1047,10990,23394.5,50392.73129,36000,40300,42600
153108,Private,32124,32124,1101,15272,27000,83612.55275,37300,41300,48400
153126,Private,28900,28900,1029,16331,26000,68225.94912,39700,43200,44800
153144,Private,37320,37320,1146,12992,27000,78690.10363,38700,44200,50000
153162,Private,37500,37500,1200,14872,27000,82761.79015,34500,39400,45400
153241,Private,12350,12350,,4093,PrivacySuppressed,18407.14286,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
153250,Private,27460,27460,1100,13877,24273.5,91917.46508,37900,41900,45300
153269,Private,32246,32246,1239,19025,25000,101865.8228,54300,61200,68700
153278,Private,26950,26950,941,17590,25971,61056.33632,35300,39900,42500
153320,Private,16086,16086,1004,10253,17933,46349.94928,32000,33900,38700
153366,Private,24920,24920,938,10847,24764,54711.15738,41400,40400,40200
153375,Private,23426,23426,967,13313,23651,65852.59247,39800,40900,45200
153384,Private,45620,45620,1398,15725,10978,87697.924,36700,45800,61000
153603,Public,7731,20617,1145,9647,24250,85981.2754,44000,49300,56000
153621,Private,26010,26010,990,13363,25289,56750.80473,32700,35900,39900
153658,Public,8079,27409,1164,13687,21500,86046.11544,47700,56100,62000
153825,Private,29700,29700,1088,12369,27000,97131.97649,38200,46400,50200
153834,Private,38370,38370,1157,18373,27000,102652.3733,38400,43500,53200
153861,Private,26430,26430,,10300,38361.5,23692.57217,22900,25000,30400
154004,Private,27180,27180,1065,10192,27000,75279.58709,38000,42400,47900
154013,Private,27010,27010,1030,16210,23393,64986.89148,43600,46100,48400
154095,Public,7749,17647,1050,5924,20543,75885.0333,39600,44800,49700
154101,Private,27860,27860,1103,11801,25569,78241.43029,36100,37500,40200
154174,Private,8556,8556,,33907,7500,40692.57576,43800,52100,53600
154235,Private,27540,27540,1050,15626,25750,82056.55452,41500,46400,50500
154350,Private,32550,32550,1125,12406,27000,78589.60454,40000,46200,51200
154493,Private,26834,26834,950,7458,20392.5,40496.38513,41200,44100,45500
154527,Private,36120,36120,1100,15348,27000,89022.64089,40700,46800,50600
154590,Private,23480,23480,,9228,25000,49422.54571,36900,41900,46400
154688,Private,26370,26370,1059,11872,25250,69065.41408,48500,51400,59500
154712,Private,25100,25100,1120,10941,26125,99402.23171,35500,39900,45000
154721,Private,24390,24390,969,6677,27000,60569.87549,32100,37400,45100
154749,Private,24200,24200,1000,11714,26025,55489.36364,36600,40600,45600
154855,Private,16204,16204,966,10162,22781.5,34970.98383,30400,36000,34800
155025,Public,5746,17896,1009,6954,20258.5,57341.69743,33000,36300,40300
155061,Public,4469,13159,,5390,19329,51244.77929,36800,40300,42700
155070,Private,14290,14290,,13079,19295,43635.77698,29600,PrivacySuppressed,32500
155089,Private,24630,24630,1029,14039,24187,55559.52205,42300,44200,46900
155317,Public,10448,25731,1145,10881,19500,78584.91442,45100,52300,59300
155335,Private,24800,24800,1076,8188,20000,59032.11225,39500,42900,47900
155399,Public,9034,22624,,9596,21823.5,77930.78693,41400,46600,51900
155414,Private,25200,25200,1059,12463,25000,62124.82897,36000,38700,43300
155496,Private,13642,13642,1030,9919,19822.5,61944.06395,30600,35300,38800
155511,Private,24035,24035,1005,10327,25288.5,66048.93873,37900,37800,43500
155520,Private,24250,24250,1010,10008,16668,59519.17564,45700,44700,49600
155627,Private,25154,25154,,10434,21665,46167.96608,41600,44900,48100
155636,Private,11670,11670,,3555,21665,46167.96608,41600,44900,48100
155681,Public,6230,16336,1010,4817,19399.5,60433.2343,37900,42500,44400
155812,Private,24450,24450,1002,12487,23832,63368.85102,41900,43300,42500
155900,Private,24835,24835,1007,11562,25608.5,47488.25979,41200,47600,54000
155937,Private,21950,21950,978,9022,25444.5,61094.06936,31800,37000,40500
155973,Private,23900,23900,1037,9635,21500,62576.83559,37700,42600,45500
156082,Public,6038,13526,,5475,15500,44555.73641,36100,40500,43500
156125,Public,7265,15299,,6453,20000,52794.74026,38900,42800,45400
156189,Private,10980,10980,1008,7723,16495,47615.86364,28400,37600,41600
156213,Private,26868,26868,1135,14365,25250,69514.61558,29300,34800,40700
156286,Private,36290,36290,1120,15929,25000,80007.00628,43100,48400,50600
156295,Private,24270,24270,1125,2917,6025,27159.16525,27100,32100,36300
156356,Private,19990,19990,1039,10705,30500,42785.39641,30800,35300,48000
156365,Private,22842,22842,964,9110,17500,45021.04421,28700,30500,35400
156408,Private,37100,37100,1263,18011,27000,109638.5579,38500,50100,53800
156417,Private,6724,6724,,4641,PrivacySuppressed,25753.9125,28900,31300,31000
156541,Private,20000,20000,1038,8477,15000,45982.13448,28500,35800,38200
156620,Public,7920,17448,1008,6440,22692,48572.2469,32700,36300,39300
156745,Private,32960,32960,1102,12788,27000,70214.89714,32500,39600,50500
157030,Private,7290,7290,1010,6404,PrivacySuppressed,40035.56098,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
157058,Public,7404,17214,883,8557,29062.5,32436.76678,25600,28300,31300
157076,Private,22230,22230,1021,11466,23650,53012.59548,30100,35800,41700
157085,Public,10616,22888,1142,10959,21250,77233.67097,43500,51700,54000
157100,Private,16830,16830,966,9312,27000,54569.92746,29900,32700,36500
157216,Private,22550,22550,,8592,19500,39111.75658,25700,28100,31300
157289,Public,10432,24320,1144,11357,20000,63609.63886,38200,42700,48600
157377,Private,22300,22300,,10812,21855.5,42685.21407,34600,33400,37400
157386,Public,7866,19666,1029,4950,24509,47502.92754,30000,32600,37000
157401,Public,7392,20112,1064,7371,19704,55872.87945,33100,38300,42300
157447,Public,8856,17328,1046,8607,23650,58296.04633,35200,38400,41800
157535,Private,18290,18290,966,15152,22325,34797.90333,32100,36000,39000
157632,Private,18926,18926,,11546,21000,54171.35635,29000,33200,34300
157757,Private,22950,22950,967,15099,25000,51806.46711,38000,42500,48300
157809,Private,28743,28743,982,12637,27000,69025.67059,46700,54300,58900
157818,Private,33360,33360,1230,13229,27000,91157.93264,34400,44700,50100
157863,Private,22980,22980,970,10666,PrivacySuppressed,45423.42633,28800,32100,36400
157951,Public,9140,23352,1047,7780,23250,54870.47659,30800,35900,38600
158477,Private,33500,33500,1109,12340,25000,71299.63454,32900,41600,52500
158802,Private,16252,16252,886,12186,35269,34291.1148,27600,32400,37900
159009,Public,6525,15744,868,4543,36656,25661.52185,26200,30400,32800
159373,Public,,,,12642,16500,60563.55268,65600,96200,99800
159382,Public,6009,12868,987,4864,14750,42853.85573,33000,35000,36300
159391,Public,8750,26467,1161,10082,19500,75511.95697,45000,52000,60100
159416,Public,6168,6168,1050,4180,16737,37556.10198,36000,39700,41000
159568,Private,14570,14570,990,9880,22513.5,54369.41751,35400,44400,48300
159647,Public,8052,22635,1104,6473,20000,64949.58845,38800,45100,49200
159656,Private,36630,36630,1135,18553,25500,78638.89134,36000,43400,52300
159717,Public,6334,17404,1030,4780,19250,50404.31179,36600,41100,45000
159939,Public,7392,21002,1082,7792,16025,42022.67436,35200,40300,43500
159966,Public,7234,17481,1031,5254,19484.5,53851.48032,37200,41900,43800
159993,Public,6963,19121,1030,6327,20018,51045.69937,38100,41700,46300
160038,Public,6863,17651,1027,5838,21500,44726.74563,35700,39300,39600
160065,Private,10310,10310,,13551,31250,38185.35759,38700,41900,40700
160409,Private,16598,16598,,19233,PrivacySuppressed,33241.54839,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
160612,Public,6547,19111,1030,4772,20500,50777.77094,34600,38900,42800
160621,Public,6630,8274,910,4727,31000,32553.77108,30800,34900,39600
160630,Public,5218,6517,806,3783,26883,20380.63517,26800,28300,32100
160658,Public,6872,19272,1070,5702,19625,55865.01372,37200,42000,46400
160755,Private,48305,48305,1342,24250,27000,94116.93607,48400,64000,86300
160904,Private,21552,21552,1039,15977,26000,52012.95634,46700,56300,64500
160959,Private,40491,40491,,37489,19000,62201.15508,20500,32300,27800
160977,Private,47030,47030,,41051,16167.5,118142.5564,46000,56200,74300
161004,Private,46808,46808,,28543,19468,102832.6158,57100,62700,83300
161086,Private,47350,47350,1333,28496,19270,125703.6515,50200,64900,71000
